project	tissue	method	recall	precision	dataset	positives	negatives	prior	log2_precision_over_prior
SRP012682	brain	CPM_wTO	10	0.013403148257920041	SRP012682_brain	4089	443669	0.009132165142778018	0.5535430602235929
SRP012682	breast	CPM_wTO	10	0.005864661654135338	SRP012682_breast	741	135945	0.005421184320266889	0.11343981885946527
SRP012682	cervix_uteri	CPM_wTO	10	0.008680555555555556	SRP012682_cervix_uteri	1847	210257	0.008707992305661374	-0.0045527546613938295
SRP012682	colon	CPM_wTO	10	6.693440428380187e-4	SRP012682_colon	59	59499	9.906309815641895e-4	-0.5655997945937713
SRP012682	fallopian_tube	CPM_wTO	10	0.04177545691906005	SRP012682_fallopian_tube	50	42216	0.0011829839587375196	5.1421531918715475
SRP012682	heart	CPM_wTO	10	0.0028935185185185184	SRP012682_heart	529	164120	0.0032128953106304926	-0.15104909523944635
SRP012682	kidney	CPM_wTO	10	0.004588703691207234	SRP012682_kidney	767	220365	0.0034685165421558164	0.40376788470324076
SRP012682	liver	CPM_wTO	10	0.012150537634408601	SRP012682_liver	1061	238312	0.00443241301232804	1.454855928192812
SRP012682	lung	CPM_wTO	10	0.004355400696864111	SRP012682_lung	311	117840	0.0026322248647916648	0.7265227124850441
SRP012682	muscle	CPM_wTO	10	0.008056640625	SRP012682_muscle	1657	264040	0.006236427208436678	0.3694586449421017
SRP012682	nerve	CPM_wTO	10	0.009243093355242888	SRP012682_nerve	2031	289701	0.006961869112747316	0.4089010635945308
SRP012682	ovary	CPM_wTO	10	0.004871060171919771	SRP012682_ovary	346	143912	0.0023984805002148927	1.0221150944224069
SRP012682	pancreas	CPM_wTO	10	6.584723441615452e-4	SRP012682_pancreas	59	54795	0.0010755824552448317	-0.7079233737943367
SRP012682	prostate	CPM_wTO	10	0.001932367149758454	SRP012682_prostate	140	84704	0.0016500872188958558	0.22782694905100526
SRP012682	skin	CPM_wTO	10	0.022806004618937645	SRP012682_skin	711	185757	0.0038129866786794516	2.5804203273412942
SRP012682	spleen	CPM_wTO	10	0.004394861392832995	SRP012682_spleen	121	50884	0.0023723164395647485	0.8895212041583819
SRP012682	testis	CPM_wTO	10	0.018549511854951184	SRP012682_testis	1347	247180	0.005419934252616416	1.7750339657327894
SRP012682	uterus	CPM_wTO	10	0.011968680089485458	SRP012682_uterus	1085	154897	0.006955930812529651	0.7829485721060722
SRP012682	adipose_tissue	CPM	10	0.009532062391681109	SRP012682_adipose_tissue	93	59080	0.0015716627515927873	2.600496718280437
SRP012682	blood	CPM	10	0.01721797087138978	SRP012682_blood	5692	414703	0.013539647236527551	0.34672498065169377
SRP012682	bone_marrow	CPM	10	7.930214115781126e-4	SRP012682_bone_marrow	51	50279	0.001013312139876813	-0.3536469249154512
SRP012682	brain	CPM	10	0.01917934532042416	SRP012682_brain	4089	443669	0.009132165142778018	1.07052462126868
SRP012682	breast	CPM	10	0.010827067669172932	SRP012682_breast	741	135945	0.005421184320266889	0.9979626014395294
SRP012682	cervix_uteri	CPM	10	0.013038548752834467	SRP012682_cervix_uteri	1847	210257	0.008707992305661374	0.5823712623930486
SRP012682	colon	CPM	10	5.378657487091222e-4	SRP012682_colon	59	59499	9.906309815641895e-4	-0.8811016203217008
SRP012682	fallopian_tube	CPM	10	0.0391644908616188	SRP012682_fallopian_tube	50	42216	0.0011829839587375196	5.049043787480066
SRP012682	heart	CPM	10	0.041035353535353536	SRP012682_heart	529	164120	0.0032128953106304926	3.674921504985505
SRP012682	kidney	CPM	10	0.009211147850732168	SRP012682_kidney	767	220365	0.0034685165421558164	1.4090621843727538
SRP012682	liver	CPM	10	0.04645161290322581	SRP012682_liver	1061	238312	0.00443241301232804	3.389564467941093
SRP012682	lung	CPM	10	0.013937282229965157	SRP012682_lung	311	117840	0.0026322248647916648	2.404594617597682
SRP012682	muscle	CPM	10	0.0345703125	SRP012682_muscle	1657	264040	0.006236427208436678	2.470741980779283
SRP012682	nerve	CPM	10	0.01096333572969087	SRP012682_nerve	2031	289701	0.006961869112747316	0.6551402268853462
SRP012682	ovary	CPM	10	0.0064469914040114614	SRP012682_ovary	346	143912	0.0023984805002148927	1.4265053495017421
SRP012682	pancreas	CPM	10	0.0018656716417910447	SRP012682_pancreas	59	54795	0.0010755824552448317	0.7945769667348465
SRP012682	prostate	CPM	10	0.004528985507246377	SRP012682_prostate	140	84704	0.0016500872188958558	1.4566456395468863
SRP012682	skin	CPM	10	0.03117782909930716	SRP012682_skin	711	185757	0.0038129866786794516	3.0315270813276602
SRP012682	spleen	CPM	10	0.012170385395537525	SRP012682_spleen	121	50884	0.0023723164395647485	2.359006487459602
SRP012682	testis	CPM	10	0.025313807531380753	SRP012682_testis	1347	247180	0.005419934252616416	2.2235772682273507
SRP012682	uterus	CPM	10	0.01912751677852349	SRP012682_uterus	1085	154897	0.006955930812529651	1.4593341005908231
SRP012682	adipose_tissue	CPM_CLR	10	0.02079722703639515	SRP012682_adipose_tissue	93	59080	0.0015716627515927873	3.7260276003642963
SRP012682	blood	CPM_CLR	10	0.046127281697089295	SRP012682_blood	5692	414703	0.013539647236527551	1.7684301249296808
SRP012682	bone_marrow	CPM_CLR	10	0.001286008230452675	SRP012682_bone_marrow	51	50279	0.001013312139876813	0.34382122669435006
SRP012682	brain	CPM_CLR	10	0.018902720147533424	SRP012682_brain	4089	443669	0.009132165142778018	1.0495650026330337
SRP012682	breast	CPM_CLR	10	0.016791979949874688	SRP012682_breast	741	135945	0.005421184320266889	1.6310923846211958
SRP012682	cervix_uteri	CPM_CLR	10	0.015316205533596838	SRP012682_cervix_uteri	1847	210257	0.008707992305661374	0.8146468875861212
SRP012682	colon	CPM_CLR	10	6.454388984509467e-4	SRP012682_colon	59	59499	9.906309815641895e-4	-0.6180672144879067
SRP012682	fallopian_tube	CPM_CLR	10	0.0014357501794687725	SRP012682_fallopian_tube	50	42216	0.0011829839587375196	0.2793742311952517
SRP012682	heart	CPM_CLR	10	0.07255520504731862	SRP012682_heart	529	164120	0.0032128953106304926	4.497133237954266
SRP012682	kidney	CPM_CLR	10	0.01162973440201163	SRP012682_kidney	767	220365	0.0034685165421558164	1.7454274788953335
SRP012682	liver	CPM_CLR	10	0.054982817869415807	SRP012682_liver	1061	238312	0.00443241301232804	3.6328166237520967
SRP012682	lung	CPM_CLR	10	0.0278503046127067	SRP012682_lung	311	117840	0.0026322248647916648	3.403338461627256
SRP012682	muscle	CPM_CLR	10	0.098046875	SRP012682_muscle	1657	264040	0.006236427208436678	3.9746799846470577
SRP012682	nerve	CPM_CLR	10	0.012161514497963096	SRP012682_nerve	2031	289701	0.006961869112747316	0.8047763057864801
SRP012682	ovary	CPM_CLR	10	0.0057306590257879654	SRP012682_ovary	346	143912	0.0023984805002148927	1.2565803480594295
SRP012682	pancreas	CPM_CLR	10	0.013059701492537313	SRP012682_pancreas	59	54795	0.0010755824552448317	3.6019318887924507
SRP012682	prostate	CPM_CLR	10	0.005233494363929146	SRP012682_prostate	140	84704	0.0016500872188958558	1.6652322613583035
SRP012682	skin	CPM_CLR	10	0.012509622786759045	SRP012682_skin	711	185757	0.0038129866786794516	1.7140448914714896
SRP012682	spleen	CPM_CLR	10	0.02631578947368421	SRP012682_spleen	121	50884	0.0023723164395647485	3.4715603096727716
SRP012682	testis	CPM_CLR	10	0.015585774058577405	SRP012682_testis	1347	247180	0.005419934252616416	1.5238825514149175
SRP012682	uterus	CPM_CLR	10	0.01929530201342282	SRP012682_uterus	1085	154897	0.006955930812529651	1.4719341373704566
SRP012682	adipose_tissue	CPM_quantile_wTO	10	0.019064124783362217	SRP012682_adipose_tissue	93	59080	0.0015716627515927873	3.600496718280437
SRP012682	blood	CPM_quantile_wTO	10	0.027084361124814996	SRP012682_blood	5692	414703	0.013539647236527551	1.0002699091598803
SRP012682	bone_marrow	CPM_quantile_wTO	10	6.872852233676976e-4	SRP012682_bone_marrow	51	50279	0.001013312139876813	-0.5600978023828772
SRP012682	brain	CPM_quantile_wTO	10	0.011497233748271093	SRP012682_brain	4089	443669	0.009132165142778018	0.332257934237296
SRP012682	breast	CPM_quantile_wTO	10	0.006098579782790309	SRP012682_breast	741	135945	0.005421184320266889	0.1698652523222844
SRP012682	cervix_uteri	CPM_quantile_wTO	10	0.006271258503401361	SRP012682_cervix_uteri	1847	210257	0.008707992305661374	-0.473585143580967
SRP012682	colon	CPM_quantile_wTO	10	6.074719044244204e-4	SRP012682_colon	59	59499	9.906309815641895e-4	-0.7055300557382461
SRP012682	fallopian_tube	CPM_quantile_wTO	10	0.04699738903394256	SRP012682_fallopian_tube	50	42216	0.0011829839587375196	5.31207819331386
SRP012682	heart	CPM_quantile_wTO	10	0.027129337539432176	SRP012682_heart	529	164120	0.0032128953106304926	3.077907941711988
SRP012682	kidney	CPM_quantile_wTO	10	0.007260726072607261	SRP012682_kidney	767	220365	0.0034685165421558164	1.0657950597950787
SRP012682	liver	CPM_quantile_wTO	10	0.014910394265232975	SRP012682_liver	1061	238312	0.00443241301232804	1.7501541831975602
SRP012682	lung	CPM_quantile_wTO	10	0.005918189730200174	SRP012682_lung	311	117840	0.0026322248647916648	1.1688732079902333
