project	tissue	method	recall	precision	dataset	log2_precision_over_prior
SRP031476	breast	UQ_wTO	5	0.15695709667940053	SRP031476_breast	0.5549628781914547
SRP032165	brain	UQ_wTO	5	0.2105521231734824	SRP032165_brain	0.9787700410712971
SRP032363	muscle	UQ_wTO	5	0.1557545169616519	SRP032363_muscle	0.5438666203472622
SRP032539	brain	UQ_wTO	5	0.1570556826849733	SRP032539_brain	0.5558687619984889
SRP032743	stem_cell	UQ_wTO	5	0.21553365021639498	SRP032743_stem_cell	1.012505745419382
SRP032775	blood	UQ_wTO	5	0.1671533882544496	SRP032775_blood	0.6457652167452109
SRP032789	breast	UQ_wTO	5	0.20607816091954023	SRP032789_breast	0.9477842413273706
SRP032798	brain	UQ_wTO	5	0.16341224824071826	SRP032798_brain	0.613108739467544
SRP032812	umbilical_cord	UQ_wTO	5	0.14338099142947835	SRP032812_umbilical_cord	0.4244463906642797
SRP032928	stem_cell	UQ_wTO	5	0.16438434326144014	SRP032928_stem_cell	0.6216655140848871
SRP033078	breast	UQ_wTO	5	0.10446862721308109	SRP033078_breast	-0.03233762823605628
SRP033095	lung	UQ_wTO	5	0.18588745735766568	SRP033095_lung	0.7990220461651087
SRP033135	muscle	UQ_wTO	5	0.1414778399352056	SRP033135_muscle	0.40516871503210455
SRP033266	blood	UQ_wTO	5	0.21320766763748164	SRP033266_blood	0.9968519405990272
SRP033266	bone	UQ_wTO	5	0.19049699460372937	SRP033266_bone	0.8343608546530539
SRP033267	stem_cell	UQ_wTO	5	0.17191823201839895	SRP033267_stem_cell	0.6863151690807753
SRP033491	umbilical_cord	UQ_wTO	5	0.1413688542343513	SRP033491_umbilical_cord	0.4040569245026563
SRP033725	brain	UQ_wTO	5	0.10409393473909603	SRP033725_brain	-0.03752137310946659
SRP034009	cervix	UQ_wTO	5	0.21953578336557059	SRP034009_cervix	1.039048729451332
SRP034592	prostate	UQ_wTO	5	0.1459538499464746	SRP034592_prostate	0.4501048841008714
SRP034606	stem_cell	UQ_wTO	5	0.160982800982801	SRP034606_stem_cell	0.5914991800753886
SRP034698	skin	UQ_wTO	5	0.16568463740458014	SRP034698_skin	0.6330324569142914
SRP034711	blood	UQ_wTO	5	0.1672209026128266	SRP034711_blood	0.6463478131588906
SRP034732	blood	UQ_wTO	5	0.1544576059850374	SRP034732_blood	0.5318035332069195
SRP035268	umbilical_cord	UQ_wTO	5	0.12424749986259008	SRP035268_umbilical_cord	0.21780943941875097
