project	sample	run	sharq_beta_tissue
SRP012682	SRS627321	SRR1334419	Blood Vessel
SRP012682	SRS627444	SRR1335446	Brain
SRP012682	SRS639318	SRR1416362	Pancreas
SRP012682	SRS639484	SRR1419692	Adipose Tissue
SRP012682	SRS638087	SRR1404362	Colon
SRP012682	SRS648678	SRR1476165	Nerve
SRP012682	SRS648897	SRR1480813	Adipose Tissue
SRP012682	SRS374691	SRR612215	Muscle
SRP012682	SRS649743	SRR1490019	Brain
SRP012682	SRS625350	SRR1317446	Adipose Tissue
SRP012682	SRS408152	SRR808327	Heart
SRP012682	SRS643914	SRR1431248	Liver
SRP012682	SRS527998	SRR1105272	Kidney
SRP012682	SRS631290	SRR1366010	Skin
SRP012682	SRS648576	SRR1474159	Testis
SRP012682	SRS639545	SRR1421010	Lung
SRP012682	SRS625542	SRR1320650	Vagina
SRP012682	SRS636080	SRR1387308	Testis
SRP012682	SRS374750	SRR612707	Adipose Tissue
SRP012682	SRS525284	SRR1091695	Skin
SRP012682	SRS629802	SRR1357323	Blood Vessel
SRP012682	SRS643907	SRR1431104	Uterus
SRP012682	SRS648535	SRR1473318	Esophagus
SRP012682	SRS627881	SRR1340782	Small Intestine
SRP012682	SRS638120	SRR1405054	Liver
SRP012682	SRS644443	SRR1441097	Esophagus
SRP012682	SRS627819	SRR1339549	Brain
SRP012682	SRS629526	SRR1352481	Bone Marrow
SRP012682	SRS639234	SRR1414684	Brain
SRP012682	SRS525970	SRR1094531	Small Intestine
SRP012682	SRS524810	SRR1082685	Pituitary
SRP012682	SRS649772	SRR1490635	Colon
SRP012682	SRS389077	SRR655684	Brain
SRP012682	SRS649575	SRR1486370	Esophagus
SRP012682	SRS648263	SRR1467522	Breast
SRP012682	SRS389552	SRR658501	Blood
SRP012682	SRS625420	SRR1318503	Pancreas
SRP012682	SRS635407	SRR1385389	Adipose Tissue
SRP012682	SRS389036	SRR655194	Skin
SRP012682	SRS649584	SRR1486608	Brain
SRP012682	SRS646050	SRR1459631	Nerve
SRP012682	SRS374841	SRR614719	Blood Vessel
SRP012682	SRS624047	SRR1312266	Liver
SRP012682	SRS525987	SRR1095503	Skin
SRP012682	SRS628392	SRR1343546	Colon
SRP012682	SRS648545	SRR1473529	Adipose Tissue
